ConversionManyPerClickSignificance,Conversion ACE indicator,conversionACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ConversionOptimizerBidType,Conversion optimizer bid type,conversionOptimizerBidType,ConversionOptimizerBidType,,Attribute,
ConversionRate,Click conversion rate,clickConversionRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
Conversions,Converted clicks,convertedClicks,Long,,Metric,
ConversionSignificance,Converted clicks ACE indicator,convertedClicksACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ConversionsManyPerClick,Conversions,conversions,Long,,Metric,
ConversionTypeName,Conversion name,conversionName,String,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc).  Prevents zero-conversion rows from being returned.
"
ConversionValue,Total conv. value,totalConvValue,Long,,Metric,"The HTTP header returnMoneyInMicros does not affect this field.
"
Cost,Cost,cost,Money,,Metric,
CostPerConversion,Cost / converted click,costConvertedClick,Money,,Metric,
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,,Metric,
CostPerConversionManyPerClickSignificance,Cost/conversion ACE indicator,costConversionACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CostPerConversionSignificance,Cost/converted click ACE indicator,costConvertedClickACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CostPerEstimatedTotalConversion,Cost / est. total conv.,costEstTotalConv,Money,,Metric,
CostSignificance,Cost ACE indicator,costACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CpcSignificance,CPC ACE indicator,cPCACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CpmSignificance,CPM ACE indicator,cPMACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
Ctr,CTR,ctr,Double,,Metric,"Percentage returned as ""x.xx%"".
"
CtrSignificance,CTR ACE indicator,cTRACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CustomerDescriptiveName,Client name,clientName,String,,Attribute,
Date,Day,day,Date,,Segment,"Prevents zero-impression rows from being returned.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,,Segment,"Prevents zero-impression rows from being returned.
"
Device,Device,device,DeviceType,,Segment,"Prevents zero-impression rows from being returned.
"
DisplaySelect,Display Select,displaySelect,Boolean,,Attribute,
EnhancedCpcEnabled,Enhanced CPC enabled,enhancedCPCEnabled,Boolean,,Attribute,
EstimatedCrossDeviceConversions,Est. cross-device conv.,estCrossDeviceConv,Long,,Metric,
EstimatedTotalConversionRate,Est. total conv. rate,estTotalConvRate,Double,,Metric,
EstimatedTotalConversions,Est. total conv.,estTotalConv,Long,,Metric,
EstimatedTotalConversionValue,Est. total conv. value,estTotalConvValue,Double,,Metric,
EstimatedTotalConversionValuePerClick,Est. total conv. value / click,estTotalConvValueClick,Double,,Metric,
EstimatedTotalConversionValuePerCost,Est. total conv. value / cost,estTotalConvValueCost,Double,,Metric,
ExternalCustomerId,Customer ID,customerID,Long,,Attribute,
HourOfDay,Hour of day,hourOfDay,Integer,,Segment,
Id,Campaign ID,campaignID,Long,,Attribute,
ImpressionAssistedConversions,Impr. Assisted Conv.,imprAssistedConv,Long,,Metric,
ImpressionAssistedConversionsOverLastClickConversions,Impr. Assisted Conv. / Last Click Conv.,imprAssistedConvLastClickConv,Double,,Metric,
ImpressionAssistedConversionValue,Impr. Assisted Conv. Value,imprAssistedConvValue,Double,,Metric,
Impressions,Impressions,impressions,Long,,Metric,
ImpressionSignificance,Impressions ACE indicator,impressionsACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
InvalidClickRate,Invalid click rate,invalidClickRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
InvalidClicks,Invalid clicks,invalidClicks,Long,,Metric,
IsBudgetExplicitlyShared,Budget explicitly shared,budgetExplicitlyShared,Boolean,,Attribute,
Month,Month,month,String,,Segment,"Prevents zero-impression rows from being returned.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,,Segment,"Prevents zero-impression rows from being returned.
"
Name,Campaign,campaign,String,,Attribute,
NumOfflineImpressions,Phone impressions,phoneImpressions,Long,,Metric,
NumOfflineInteractions,Phone calls,phoneCalls,Long,,Metric,
OfflineInteractionCost,Phone cost,phoneCost,Money,,Metric,
OfflineInteractionRate,PTR,ptr,Double,,Metric,
PercentNewVisitors,% new visits,newVisits,Double,,Metric,
