Name,Display Name,XML Attribute,Type,Enum Values,Behavior,Notes
ClickSignificance,Clicks ACE indicator,clicksACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ClickType,Click type,clickType,ClickType,,Segment,"Prevents zero-impression rows from being returned. The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
"
ContentBidCriterionTypeGroup,Content Network Bid Dimension,contentNetworkBidDimension,CriterionTypeGroup,,Segment,
ContentImpressionShare,Content Impr. share,contentImprShare,Double,,Metric,
ContentRankLostImpressionShare,Content Lost IS (rank),contentLostISRank,Double,,Metric,
ConversionCategoryName,Conversion category,conversionCategory,String,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionManyPerClickSignificance,Conversion ACE indicator,conversionACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ConversionOptimizerBidType,Conversion optimizer bid type,conversionOptimizerBidType,ConversionOptimizerBidType,,Attribute,
ConversionRate,Click conversion rate,clickConversionRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
Conversions,Converted clicks,convertedClicks,Long,,Metric,
ConversionSignificance,Converted clicks ACE indicator,convertedClicksACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ConversionsManyPerClick,Conversions,conversions,Long,,Metric,
ConversionTypeName,Conversion name,conversionName,String,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc).  Prevents zero-conversion rows from being returned.
"
ConversionValue,Total conv. value,totalConvValue,Long,,Metric,"The HTTP header returnMoneyInMicros does not affect this field.
"
Cost,Cost,cost,Money,,Metric,
CostPerConversion,Cost / converted click,costConvertedClick,Money,,Metric,
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,,Metric,
CostPerConversionManyPerClickSignificance,Cost/conversion ACE indicator,costConversionACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CostPerConversionSignificance,Cost/converted click ACE indicator,costConvertedClickACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CostPerEstimatedTotalConversion,Cost / est. total conv.,costEstTotalConv,Money,,Metric,
CostSignificance,Cost ACE indicator,costACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CpcSignificance,CPC ACE indicator,cPCACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CpmSignificance,CPM ACE indicator,cPMACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
Ctr,CTR,ctr,Double,,Metric,"Percentage returned as ""x.xx%"".
"
CtrSignificance,CTR ACE indicator,cTRACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
CustomerDescriptiveName,Client name,clientName,String,,Attribute,
Date,Day,day,Date,,Segment,"Prevents zero-impression rows from being returned.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,,Segment,"Prevents zero-impression rows from being returned.
"
Device,Device,device,DeviceType,,Segment,"Prevents zero-impression rows from being returned.
"
EnhancedCpcEnabled,Enhanced CPC enabled,enhancedCPCEnabled,Boolean,,Attribute,
EstimatedCrossDeviceConversions,Est. cross-device conv.,estCrossDeviceConv,Long,,Metric,
EstimatedTotalConversionRate,Est. total conv. rate,estTotalConvRate,Double,,Metric,
EstimatedTotalConversions,Est. total conv.,estTotalConv,Long,,Metric,
EstimatedTotalConversionValue,Est. total conv. value,estTotalConvValue,Double,,Metric,
EstimatedTotalConversionValuePerClick,Est. total conv. value / click,estTotalConvValueClick,Double,,Metric,
EstimatedTotalConversionValuePerCost,Est. total conv. value / cost,estTotalConvValueCost,Double,,Metric,
ExternalCustomerId,Customer ID,customerID,Long,,Attribute,
HourOfDay,Hour of day,hourOfDay,Integer,,Segment,
Id,Ad group ID,adGroupID,Long,,Attribute,
ImpressionAssistedConversions,Impr. Assisted Conv.,imprAssistedConv,Long,,Metric,
ImpressionAssistedConversionsOverLastClickConversions,Impr. Assisted Conv. / Last Click Conv.,imprAssistedConvLastClickConv,Double,,Metric,
ImpressionAssistedConversionValue,Impr. Assisted Conv. Value,imprAssistedConvValue,Double,,Metric,
Impressions,Impressions,impressions,Long,,Metric,
ImpressionSignificance,Impressions ACE indicator,impressionsACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
KeywordContentMaxCpc,Display Network max. CPC,displayNetworkMaxCPC,Bid,,Attribute,"Usually a number in the format ""x.xx"", but may return ""auto: x.xx"" or just ""auto"" if automatic bidding is used.
"
KeywordMaxCpc,Default max. CPC,defaultMaxCPC,Bid,,Attribute,"Usually a number in the format ""x.xx"", but may return ""auto: x.xx"" or just ""auto"" if automatic bidding is used.
"
MaxCpm,Max. CPM,maxCPM,Bid,,Attribute,"Usually a number in the format ""x.xx"", but may return ""auto: x.xx"" or just ""auto"" if automatic bidding is used.
"
Month,Month,month,String,,Segment,"Prevents zero-impression rows from being returned.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,,Segment,"Prevents zero-impression rows from being returned.
"
Name,Ad group,adGroup,String,,Attribute,
NumOfflineImpressions,Phone impressions,phoneImpressions,Long,,Metric,
NumOfflineInteractions,Phone calls,phoneCalls,Long,,Metric,
OfflineInteractionCost,Phone cost,phoneCost,Money,,Metric,
OfflineInteractionRate,PTR,ptr,Double,,Metric,
PercentCpa,Max. CPA%,maxCPA,int,,Attribute,
PercentNewVisitors,% new visits,newVisits,Double,,Metric,
PositionSignificance,Position ACE indicator,positionACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
